"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13053020206","Census Tract 202.06, Chattahoochee County, Georgia","206","426",
"1400000US13055010100","Census Tract 101, Chattooga County, Georgia","299","2303",
"1400000US13055010200","Census Tract 102, Chattooga County, Georgia","652","7329",
"1400000US13055010300","Census Tract 103, Chattooga County, Georgia","287","2416",
"1400000US13055010400","Census Tract 104, Chattooga County, Georgia","607","4791",
"1400000US13055010500","Census Tract 105, Chattooga County, Georgia","580","6587",
"1400000US13055010600","Census Tract 106, Chattooga County, Georgia","334","2559",
"1400000US13057090100","Census Tract 901, Cherokee County, Georgia","405","6938",
"1400000US13057090200","Census Tract 902, Cherokee County, Georgia","606","7203",
"1400000US13057090300","Census Tract 903, Cherokee County, Georgia","604","10671",
"1400000US13057090400","Census Tract 904, Cherokee County, Georgia","728","8462",
"1400000US13057090501","Census Tract 905.01, Cherokee County, Georgia","494","5576",
"1400000US13057090502","Census Tract 905.02, Cherokee County, Georgia","786","11854",
"1400000US13057090601","Census Tract 906.01, Cherokee County, Georgia","655","6608",
"1400000US13057090602","Census Tract 906.02, Cherokee County, Georgia","550","8263",
"1400000US13057090701","Census Tract 907.01, Cherokee County, Georgia","843","18472",
"1400000US13057090702","Census Tract 907.02, Cherokee County, Georgia","539","7601",
"1400000US13057090802","Census Tract 908.02, Cherokee County, Georgia","573","7376",
"1400000US13057090803","Census Tract 908.03, Cherokee County, Georgia","620","9006",
"1400000US13057090804","Census Tract 908.04, Cherokee County, Georgia","651","8705",
"1400000US13057090901","Census Tract 909.01, Cherokee County, Georgia","505","7143",
"1400000US13057090902","Census Tract 909.02, Cherokee County, Georgia","682","12740",
"1400000US13057090904","Census Tract 909.04, Cherokee County, Georgia","535","6763",
"1400000US13057090905","Census Tract 909.05, Cherokee County, Georgia","357","3935",
"1400000US13057091001","Census Tract 910.01, Cherokee County, Georgia","344","3827",
"1400000US13057091003","Census Tract 910.03, Cherokee County, Georgia","815","7571",
"1400000US13057091005","Census Tract 910.05, Cherokee County, Georgia","479","6960",
"1400000US13057091006","Census Tract 910.06, Cherokee County, Georgia","252","5358",
"1400000US13057091007","Census Tract 910.07, Cherokee County, Georgia","685","6694",
"1400000US13057091008","Census Tract 910.08, Cherokee County, Georgia","359","8339",
"1400000US13057091101","Census Tract 911.01, Cherokee County, Georgia","457","5589",
"1400000US13057091102","Census Tract 911.02, Cherokee County, Georgia","558","7212",
"1400000US13057091103","Census Tract 911.03, Cherokee County, Georgia","507","7417",
"1400000US13059000100","Census Tract 1, Clarke County, Georgia","371","1423",
"1400000US13059000401","Census Tract 4.01, Clarke County, Georgia","414","1604",
"1400000US13059000402","Census Tract 4.02, Clarke County, Georgia","1358","8076",
"1400000US13059000600","Census Tract 6, Clarke County, Georgia","763","2602",
"1400000US13059000900","Census Tract 9, Clarke County, Georgia","436","3398",
"1400000US13059001200","Census Tract 12, Clarke County, Georgia","325","2567",
"1400000US13059001700","Census Tract 17, Clarke County, Georgia","190","2119",
"1400000US13059001800","Census Tract 18, Clarke County, Georgia","365","2287",
"1400000US13059001900","Census Tract 19, Clarke County, Georgia","425","3263",
"1400000US13059002000","Census Tract 20, Clarke County, Georgia","234","1847",
"1400000US13059002100","Census Tract 21, Clarke County, Georgia","568","4174",
"1400000US13059002200","Census Tract 22, Clarke County, Georgia","400","2504",
"1400000US13059030100","Census Tract 301, Clarke County, Georgia","773","5126",
"1400000US13059030200","Census Tract 302, Clarke County, Georgia","466","3867",
"1400000US13059130300","Census Tract 1303, Clarke County, Georgia","685","5715",
"1400000US13059130400","Census Tract 1304, Clarke County, Georgia","450","5645",
"1400000US13059130500","Census Tract 1305, Clarke County, Georgia","383","3130",
"1400000US13059130600","Census Tract 1306, Clarke County, Georgia","658","5414",
"1400000US13059130700","Census Tract 1307, Clarke County, Georgia","793","5024",
"1400000US13059140300","Census Tract 1403, Clarke County, Georgia","512","4454",
"1400000US13059140400","Census Tract 1404, Clarke County, Georgia","494","3427",
"1400000US13059140500","Census Tract 1405, Clarke County, Georgia","413","1995",
"1400000US13059140600","Census Tract 1406, Clarke County, Georgia","387","4659",
"1400000US13059150300","Census Tract 1503, Clarke County, Georgia","524","3310",
"1400000US13059150400","Census Tract 1504, Clarke County, Georgia","705","4312",
"1400000US13059150500","Census Tract 1505, Clarke County, Georgia","589","4786",
"1400000US13059150600","Census Tract 1506, Clarke County, Georgia","457","3036",
"1400000US13059150700","Census Tract 1507, Clarke County, Georgia","599","5832",
"1400000US13059150800","Census Tract 1508, Clarke County, Georgia","564","5976",
"1400000US13059150900","Census Tract 1509, Clarke County, Georgia","448","3498",
"1400000US13061960300","Census Tract 9603, Clay County, Georgia","287","2981",
"1400000US13063040202","Census Tract 402.02, Clayton County, Georgia","371","3141",
"1400000US13063040203","Census Tract 402.03, Clayton County, Georgia","654","3035",
"1400000US13063040204","Census Tract 402.04, Clayton County, Georgia","588","3192",
"1400000US13063040302","Census Tract 403.02, Clayton County, Georgia","864","5338",
"1400000US13063040303","Census Tract 403.03, Clayton County, Georgia","744","7637",
"1400000US13063040306","Census Tract 403.06, Clayton County, Georgia","573","2827",
"1400000US13063040307","Census Tract 403.07, Clayton County, Georgia","661","4951",
"1400000US13063040308","Census Tract 403.08, Clayton County, Georgia","619","5082",
"1400000US13063040407","Census Tract 404.07, Clayton County, Georgia","412","3402",
"1400000US13063040408","Census Tract 404.08, Clayton County, Georgia","682","7378",
"1400000US13063040409","Census Tract 404.09, Clayton County, Georgia","630","6321",
"1400000US13063040410","Census Tract 404.10, Clayton County, Georgia","866","7129",
"1400000US13063040411","Census Tract 404.11, Clayton County, Georgia","782","11235",
"1400000US13063040412","Census Tract 404.12, Clayton County, Georgia","602","6407",
"1400000US13063040413","Census Tract 404.13, Clayton County, Georgia","724","7504",
"1400000US13063040414","Census Tract 404.14, Clayton County, Georgia","318","1561",
"1400000US13063040415","Census Tract 404.15, Clayton County, Georgia","820","6119",
"1400000US13063040416","Census Tract 404.16, Clayton County, Georgia","608","3592",
"1400000US13063040417","Census Tract 404.17, Clayton County, Georgia","813","4952",
"1400000US13063040509","Census Tract 405.09, Clayton County, Georgia","523","3879",
"1400000US13063040510","Census Tract 405.10, Clayton County, Georgia","492","3288",
"1400000US13063040512","Census Tract 405.12, Clayton County, Georgia","491","4605",
"1400000US13063040513","Census Tract 405.13, Clayton County, Georgia","579","5464",
"1400000US13063040514","Census Tract 405.14, Clayton County, Georgia","609","7291",
"1400000US13063040515","Census Tract 405.15, Clayton County, Georgia","711","7465",
"1400000US13063040516","Census Tract 405.16, Clayton County, Georgia","567","5771",
"1400000US13063040518","Census Tract 405.18, Clayton County, Georgia","523","5059",
"1400000US13063040519","Census Tract 405.19, Clayton County, Georgia","736","4226",
"1400000US13063040520","Census Tract 405.20, Clayton County, Georgia","482","3685",
"1400000US13063040521","Census Tract 405.21, Clayton County, Georgia","682","2964",
"1400000US13063040522","Census Tract 405.22, Clayton County, Georgia","545","4552",
"1400000US13063040523","Census Tract 405.23, Clayton County, Georgia","576","4116",
"1400000US13063040524","Census Tract 405.24, Clayton County, Georgia","826","6818",
"1400000US13063040525","Census Tract 405.25, Clayton County, Georgia","455","2915",
