"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US13059030100","Census Tract 301, Clarke County, Georgia","16964","3723",
"1400000US13059030200","Census Tract 302, Clarke County, Georgia","19813","3752",
"1400000US13059130300","Census Tract 1303, Clarke County, Georgia","40259","9667",
"1400000US13059130400","Census Tract 1304, Clarke County, Georgia","57500","10335",
"1400000US13059130500","Census Tract 1305, Clarke County, Georgia","50893","10287",
"1400000US13059130600","Census Tract 1306, Clarke County, Georgia","33365","8325",
"1400000US13059130700","Census Tract 1307, Clarke County, Georgia","36464","5325",
"1400000US13059140300","Census Tract 1403, Clarke County, Georgia","26124","3845",
"1400000US13059140400","Census Tract 1404, Clarke County, Georgia","26132","3339",
"1400000US13059140500","Census Tract 1405, Clarke County, Georgia","22656","7045",
"1400000US13059140600","Census Tract 1406, Clarke County, Georgia","44625","8950",
"1400000US13059150300","Census Tract 1503, Clarke County, Georgia","40649","4997",
"1400000US13059150400","Census Tract 1504, Clarke County, Georgia","11816","2406",
"1400000US13059150500","Census Tract 1505, Clarke County, Georgia","18900","4373",
"1400000US13059150600","Census Tract 1506, Clarke County, Georgia","24913","4386",
"1400000US13059150700","Census Tract 1507, Clarke County, Georgia","50019","6255",
"1400000US13059150800","Census Tract 1508, Clarke County, Georgia","60746","5903",
"1400000US13059150900","Census Tract 1509, Clarke County, Georgia","56641","8307",
"1400000US13061960300","Census Tract 9603, Clay County, Georgia","20438","3369",
"1400000US13063040202","Census Tract 402.02, Clayton County, Georgia","27563","4585",
"1400000US13063040203","Census Tract 402.03, Clayton County, Georgia","30987","8795",
"1400000US13063040204","Census Tract 402.04, Clayton County, Georgia","30028","6196",
"1400000US13063040302","Census Tract 403.02, Clayton County, Georgia","34025","2830",
"1400000US13063040303","Census Tract 403.03, Clayton County, Georgia","29860","5590",
"1400000US13063040306","Census Tract 403.06, Clayton County, Georgia","24915","5533",
"1400000US13063040307","Census Tract 403.07, Clayton County, Georgia","35892","1705",
"1400000US13063040308","Census Tract 403.08, Clayton County, Georgia","29821","9033",
"1400000US13063040407","Census Tract 404.07, Clayton County, Georgia","46395","3116",
"1400000US13063040408","Census Tract 404.08, Clayton County, Georgia","36042","11646",
"1400000US13063040409","Census Tract 404.09, Clayton County, Georgia","42049","9649",
"1400000US13063040410","Census Tract 404.10, Clayton County, Georgia","40108","3683",
"1400000US13063040411","Census Tract 404.11, Clayton County, Georgia","58291","8180",
"1400000US13063040412","Census Tract 404.12, Clayton County, Georgia","37596","10172",
"1400000US13063040413","Census Tract 404.13, Clayton County, Georgia","48023","7352",
"1400000US13063040414","Census Tract 404.14, Clayton County, Georgia","26484","6600",
"1400000US13063040415","Census Tract 404.15, Clayton County, Georgia","28401","11079",
